"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
250,1.664,250,3.662553,1840999.9357093214,"Martin A. Green, 'Improved silicon optical parameters at 25°C, 295 K and 300 K including temperature coefficients', <i>Progress in Photovoltaics: Research and Applications</i> <b>30</b>, pp.164-179, (2022)","Martin A. Green, 'Improved silicon optical parameters at 25°C, 295 K and 300 K including temperature coefficients', <i>Progress in Photovoltaics: Research and Applications</i> <b>30</b>, pp.164-179, (2022)","Assumes lightly doped silicon. Contains the corrections as described in: Corrigendum to “Improved Silicon Optical Parameters at 25°C, 295K and 300K including Temperature Coefficients” [Prog. Photovolt: Res. Appl. 2022; 30: 164–179]"
260,1.754,260,4.086303,1974999.9207910667,,,
270,2.087,270,4.6925244,2184000.026937904,,,
280,2.961,280,5.289674,2374000.139754991,,,
290,4.386,290,5.3055096,2298999.997642775,,,
300,5.099,300,4.2303386,1772000.0890609773,,,
310,5.118,310,3.6238785,1469000.009432516,,,
320,5.139,320,3.3129692,1300999.9625361569,,,
330,5.209,330,3.111877,1184999.990554551,,,
340,5.323,340,2.98702,1104000.0103677392,,,
350,5.524,350,2.9411833,1055999.982644684,,,
360,6.062,360,2.9621918,1033999.9997115472,,,
370,6.96,370,2.0969777,712199.9715742293,,,
380,6.65,380,0.91806936,303599.9954591456,,,
390,6.058,390,0.44907954,144699.99833245986,,,
400,5.63,400,0.29020312,91169.99898408372,,,
410,5.345,410,0.22111158,67770.00149772018,,,
420,5.133,420,0.17125708,51239.99851459424,,,
430,4.962,430,0.13365673,39060.000099612516,,,
440,4.818,440,0.10784339,30800.000160201726,,,
450,4.697,450,0.09364279,26150.000100057932,,,
460,4.592,460,0.07976368,21789.999227068445,,,
470,4.502,470,0.068407185,18290.00083819216,,,
480,4.423,480,0.05920564,15500.000306256832,,,
490,4.355,490,0.051782653,13280.00018352567,,,
500,4.295,500,0.045558102,11449.999884375558,,,
510,4.241,510,0.040625095,10010.000000265682,,,
520,4.194,520,0.03671259,8872.000233711855,,,
530,4.151,530,0.03349201,7941.000193958936,,,
540,4.112,540,0.030673295,7137.999869140188,,,
550,4.077,550,0.028212601,6446.0000029280045,,,
560,4.045,560,0.026158705,5869.999675387328,,,
570,4.015,570,0.024271686,5351.000030023736,,,
580,3.988,580,0.022629764,4903.000023094536,,,
590,3.963,590,0.021301536,4536.999932730746,,,
600,3.94,600,0.019915057,4170.999784468133,,,
610,3.918,610,0.018722748,3856.999840774623,,,
620,3.898,620,0.017623546,3572.000170567857,,,
630,3.879,630,0.016584262,3307.9997247243405,,,
640,3.861,640,0.015604824,3064.000027435106,,,
650,3.844,650,0.014705519,2843.000028161546,,,
660,3.829,660,0.013849822,2636.9999423470485,,,
670,3.814,670,0.013041315,2445.9999640089773,,,
680,3.8,680,0.012267345,2267.000054767734,,,
690,3.787,690,0.011525285,2099.0000397987615,,,
700,3.774,700,0.010823332,1943.0000170607616,,,
710,3.763,710,0.010147401,1796.0000244861815,,,
720,3.751,720,0.009511099,1659.9999303314016,,,
730,3.741,730,0.008893817,1531.0000081957269,,,
740,3.731,740,0.008314891,1412.000025999994,,,
750,3.721,750,0.007758803,1299.9999202906906,,,
760,3.712,760,0.007227226,1195.0000056543763,,,
770,3.703,770,0.006727957,1098.000014798339,,,
780,3.695,780,0.006250492,1006.9999871036807,,,
790,3.687,790,0.005798779,922.4000762628237,,,
800,3.679,800,0.005373071,844.0000190408183,,,
810,3.672,810,0.004965825,770.3999673586438,,,
820,3.665,820,0.004579493,701.8000763885796,,,
830,3.658,830,0.004215927,638.3000140371497,,,
840,3.652,840,0.003869661,578.8999318801397,,,
850,3.645,850,0.003541675,523.600007595418,,,
860,3.639,860,0.003232262,472.3000257524397,,,
870,3.634,870,0.002941685,424.9000452954156,,,
880,3.628,880,0.002668073,380.99993345642184,,,
890,3.623,890,0.002408723,340.10006657675365,,,
900,3.618,900,0.002167213,302.6000195361909,,,
910,3.613,910,0.001940735,267.9999480687731,,,
920,3.608,920,0.001727786,235.9999915032737,,,
930,3.604,930,0.001520105,205.40003013699408,,,
940,3.599,940,0.001347199,180.10002048185174,,,
950,3.595,950,0.00117707,155.69997746361844,,,
960,3.591,960,0.001017573,133.19999422047192,,,
970,3.587,970,0.000872249,113.00004331963066,,,
980,3.583,980,0.000742192,95.16999733686187,,,
990,3.579,990,0.000621903,78.9400362038567,,,
1000,3.575,1000,0.000512956,64.45995204859223,,,
1010,3.571,1010,0.000416092,51.76996318485086,,,
1020,3.568,1020,0.00033117,40.8000485917385,,,
1030,3.565,1030,0.000254091,31.000016269642103,,,
1040,3.562,1040,0.000190763,23.049986129874988,,,
1050,3.559,1050,0.000139539,16.69998846816252,,,
1060,3.556,1060,0.0000997886,11.830005006490959,,,
1070,3.553,1070,0.0000733805,8.618005223055919,,,
1080,3.55,1080,0.0000565509,6.579995999773742,,,
1090,3.547,1090,0.0000431702,4.976997547669802,,,
1100,3.5445,1100,0.0000329833,3.7680033807690267,,,
1110,3.5421,1110,0.0000250507,2.836003426568715,,,
1120,3.5398,1120,0.0000187879,2.1079974505849886,,,
1130,3.5375,1130,0.0000136592,1.5189961902270337,,,
1140,3.5352,1140,0.0000095345,1.051000531777259,,,
1150,3.5331,1150,0.00000630532,0.6889998953228799,,,
1160,3.531,1160,0.00000385855,0.4179997356382378,,,
1170,3.5289,1170,0.0000020297,0.21799967893987018,,,
1180,3.5269,1180,6.31957e-7,0.06730004978253033,,,
1190,3.525,1190,2.73675e-7,0.028900012419199553,,,
1200,3.5231,1200,1.67113e-7,0.017500032437311703,,,
1210,3.5213,1210,9.91774e-8,0.010299999710483846,,,
1220,3.5195,1220,6.10662e-8,0.006290004108283443,,,
1230,3.5178,1230,3.50411e-8,0.0035799955230473276,,,
1240,3.5161,1240,1.82551e-8,0.0018500028403402268,,,
1250,3.5144,1250,7.62949e-9,0.0007669999915083774,,,
1260,3.5128,1260,2.89773e-9,0.0002889995961932302,,,
1270,3.5112,1270,1.60691e-9,0.00015900020947968424,,,
1280,3.5097,1280,9.65625e-10,0.00009480001269133262,,,
1290,3.5082,1290,5.8e-10,0.000056499960901769926,,,
1300,3.5067,1300,3.63112e-10,0.000035099999742470684,,,
1310,3.5053,1310,2.16833e-10,0.000020800029308575133,,,
1320,3.5039,1320,1.26051e-10,0.000012000027138716579,,,
1330,3.5026,1330,6.24444e-11,0.000005899996039032254,,,
1340,3.5012,1340,2.77248e-11,0.000002600000835887949,,,
1350,3.5,1350,1.39658e-11,0.000001299995694266795,,,
1360,3.4987,1360,7.14287e-12,6.599996446337331e-7,,,
1370,3.4975,1370,4.25182e-12,3.8999960514996075e-7,,,
1380,3.4963,1380,2.74542e-12,2.499997479135794e-7,,,
1390,3.4951,1390,1.65919e-12,1.4999997452977406e-7,,,
1400,3.4939,1400,1.0361e-12,9.300011852526815e-8,,,
1410,3.4928,1410,5.94682e-13,5.2999960352399586e-8,,,
1420,3.4917,1420,3.729e-13,3.299999719784885e-8,,,
1430,3.4906,1430,1.82073e-13,1.5999977600477045e-8,,,
1440,3.4896,1440,1.13446e-13,9.900031116087436e-9,,,
1450,3.4885,1450,7.61556e-14,6.59999651006132e-9,,,